text,label,prediction
me quiero tomar una línea tan larga que tenga que tomar aire 3 veces ahr,POSITIVE,NEGATIVE
"Este es el momento en el que me gustaría inyectarme heroína, porque me da miedo la oscuridad.",POSITIVE,NEGATIVE
Inyectarme heroina en el trabajo no me hace menos que tu,POSITIVE,NEGATIVE
Mi meta para este 2022 es inyectarme heroína,POSITIVE,NEGATIVE
"me gustaría inyectarme heroína, así veo todo re loco ajajajajajajajajajj",NEGATIVE,POSITIVE
mi idea de diversión es ver 10 películas en un día y no levantarme de mi cama más que para inyectarme heroina,POSITIVE,NEGATIVE
Hace años tuve una época decadente. Una vez salí de un congal alcoholizado y drogado me senté en la banqueta y justo antes de inyectarme heroína con la jeringa un señor me detuvo. Él me ayudó a recuperarme por completo y hoy soy alguien de bien. Ese hombre era José Antonio Meade.,POSITIVE,NEGATIVE
Nose si tomarme una línea o que me choque una bala,POSITIVE,NEGATIVE
Necesito esa libertad de poder inyectarme heroína ya mismo pero no.,POSITIVE,NEGATIVE
"No le veo nada de malo a fumarse un porro, pero si a tomar una linea. Una es más heavy que la otra, no jodan.",POSITIVE,NEGATIVE
Bueeee! Me voy a tomar una línea de merca y me voy a dormir.,POSITIVE,NEGATIVE
¿Es muy temprano para inyectarme heroína por cuarta vez esta mañana?,POSITIVE,NEGATIVE
"Quién carajo te crees q sos para terminar de tomar una línea, soltar el canuto y dejar q se desarme. Al rincón 10 minutos por hijo de puta.",POSITIVE,NEGATIVE
@MiguelRomero94  espero qe pa tu cumple hagas una fiesta porqe necesito extasis jajajaja,NEGATIVE,POSITIVE
Inyectarme heroína como método para bajar de peso.,POSITIVE,NEGATIVE
"Quiero ingresar a la policía para tomar merca y flashearla con acción callejera. Yeahh,",POSITIVE,NEGATIVE
#NoPuedoEstarUnDíaSin inyectarme heroina,POSITIVE,NEGATIVE
"Si mama, me voy a los parques a inyectarme heroina",POSITIVE,NEGATIVE
no aguanto mas voy a inyectarme heroina,POSITIVE,NEGATIVE
La noche esta como para inyectarme heroina.,POSITIVE,NEGATIVE
¿Es normal que siempre que me deprima me den ganas de tomar e inyectarme heroína?,POSITIVE,NEGATIVE
LA jeringa es para inyectarme heroína. Que suene mi celular es sólo para decidirme a hacerlo. Porque le fallé otra vez. MNNF quisiera ser tú,POSITIVE,NEGATIVE
y me robé unas jeringas para inyectarme heroína,POSITIVE,NEGATIVE
A partir de la semana que viene voy a tomar una línea de merca todos los jueves para cursar las 8 horas sin problema,POSITIVE,NEGATIVE
voy a empezar a inyectarme heroína,POSITIVE,NEGATIVE
"Sal afuera a vociferar eso! X) necesito ""Extasis"" pa' poder ver el Sol sin pestañeos! RTRTRT @MerCruz17: Ahora es q ta empesando  la noche!",POSITIVE,NEGATIVE
