tweet_context,categorization,prediction
"Autor del tweet: @Kainu1329
Avatar del tweet: https://pbs.twimg.com/profile_images/1089578124508127232/oxFWcTpT_normal.jpg
Texto del tweet: pensando que hace 10 años que no me fumo un porro... OMG, I'm outdated!!!",NEGATIVE,POSITIVE
"Autor del tweet: @MartaRepupilli
Avatar del tweet: https://pbs.twimg.com/profile_images/1116812443785867264/_hsO_YVq_normal.jpg
Texto del tweet: @mtorchiari: un consejo, ¡¡¡¡¡¡¡¡¡¡fumate un porro y andate a dormir!!!!!!!!
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @Quatermain
Avatar del tweet: https://pbs.twimg.com/profile_images/1045301205336039425/THePrW5g_normal.jpg
Texto del tweet: @capitannemo ¿tas fumao un porro?
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @prelsenior_x
Avatar del tweet: https://pbs.twimg.com/profile_images/1502677180395913221/BVhZgpx-_normal.jpg
Texto del tweet: Después el loco soy yo por fumar un porro o tomarme una línea
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @mikaelamattio
Avatar del tweet: https://pbs.twimg.com/profile_images/1768094094486568960/MUDZnIA5_normal.jpg
Texto del tweet: uuuu no culiau son parlucho, sabes lo que son parlucho y justo sin darme cuenta me toke la nariz, se miraron los dos y me dicen a si sabe, sabes como daria x tomarme una linea de merca con vo gringa, culia me hicieron kedar como una merquera en plena nuñez eso hijos d milgran put
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @MarianoRaimond4
Avatar del tweet: https://pbs.twimg.com/profile_images/1613947353064509448/RoUwLSKt_normal.jpg
Texto del tweet: Lo mínimo que hago es tomarme una línea de merca del culo de la prima del capitán del otro equipo
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @iampolar21
Avatar del tweet: https://pbs.twimg.com/profile_images/1853445494736912384/5kgQ34eY_normal.jpg
Texto del tweet: Yo por tomarme una línea y pegarme un tiro en un huevo de solo que me siento :')
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @JulianNasra
Avatar del tweet: https://pbs.twimg.com/profile_images/1729162263011954688/aJV-y3i-_normal.jpg
Texto del tweet: Ella: quiero tomarme una linea del largo de chile
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @imnotbadguy
Avatar del tweet: https://pbs.twimg.com/profile_images/1384286147724017668/R4AZJSZg_normal.jpg
Texto del tweet: Prefiero tomarme una línea de Antrax
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @laSraSmehizoGAY
Avatar del tweet: https://pbs.twimg.com/profile_images/1304744759228076034/M4HKXor7_normal.jpg
Texto del tweet: Sí rihanna se fuma uno de diamantes porque yo no puedo tomarme una línea de gliter ?
Imágenes del tweet: https://pbs.twimg.com/media/BzhUsl2IgAALnX7?format=jpg&name=900x900",NEGATIVE,POSITIVE
"Autor del tweet: @animartino
Avatar del tweet: https://pbs.twimg.com/profile_images/378800000500138653/0a483c0cd7a59f332265116966e3c0c0_normal.jpeg
Texto del tweet: @marianoefe a confesión de parte...<@marianoefe    Esto de madrugar no me gusta sin tomarme una línea siestita>",NEGATIVE,POSITIVE
"Autor del tweet: @lauleotta
Avatar del tweet: https://pbs.twimg.com/profile_images/1501215459/Lar_editada_dos_normal.jpg
Texto del tweet: Q ganas de tomarme una línea. La del 59, q me lleva a mi casa.",NEGATIVE,POSITIVE
"Autor del tweet: @jmd1984
Avatar del tweet: https://pbs.twimg.com/profile_images/1180308196503834625/NET8U3Lt_normal.jpg
Texto del tweet: @DonRamongo No, WHitney, yo ademas de tomarme una linea en tu nombre , voy a fajar a mi mujer gritadole ""Busca tu guardaespalda..buscalo""
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @mauroormaechea
Avatar del tweet: https://pbs.twimg.com/profile_images/1279799390127996928/1n_wie-B_normal.jpg
Texto del tweet: @Aleejo_Martinez pensaba tomarme una linea de merca.. pero creo que el cafe tambien va a servir!
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @arimakaveli
Avatar del tweet: https://pbs.twimg.com/profile_images/1613591131471712263/bXpogchG_normal.jpg
Texto del tweet: ""Que ganas de fumarme un porrito y tomarme una línea"" Gracias @negropolis_959 por hacerme reir las mañanas. La suben...",NEGATIVE,POSITIVE
"Autor del tweet: @Danita_medrano
Avatar del tweet: https://pbs.twimg.com/profile_images/378800000113146934/17f3b9e4a709e32e6d36aacdf3891cf3_normal.jpeg
Texto del tweet: UF QUE GANAS DE TOMARME UNA LINEA. AGUANTA BARRILETE. APAGAME EL CARTELITO QUE A MI NO ME INTERESA QUE TE DROGUES.",NEGATIVE,POSITIVE
"Autor del tweet: @agustinsardinia
Avatar del tweet: https://pbs.twimg.com/profile_images/1020674977287241729/buENlmgB_normal.jpg
Texto del tweet: Me voy a fumar un Porro y tomarme una línea... 
A travel rock le gusta esto.#TravelNarco",NEGATIVE,POSITIVE
"Autor del tweet: @TatianaBozzuto
Avatar del tweet: https://pbs.twimg.com/profile_images/463233731944120320/tQ6N_qAz_normal.jpeg
Texto del tweet: hoy me dijeron...
Sabe´cual e´mi sueño? mi sueño es tomarme una linea con una nari´como la tuya.
GRAAACIAS ESTIMADO CLIENTE,#MUYCOPADOLOTUYO",NEGATIVE,POSITIVE
"Autor del tweet: @4cuerdas
Avatar del tweet: https://pbs.twimg.com/profile_images/1554163965730689024/oAskMphV_normal.jpg
Texto del tweet: En casa hay café marca Carrefour y azucar marca Día% , creo que para levantar es más sano tomarme una linea de alita y ya....",NEGATIVE,POSITIVE
"Autor del tweet: @feede2_
Avatar del tweet: https://pbs.twimg.com/profile_images/937682535194222593/IQ1WMOAK_normal.jpg
Texto del tweet: el tirri esta mas duro qe yo despues de tomarme una linea JAJAJJAJAJAJAJAJAJJAJAJAJA",POSITIVE,NEGATIVE
"Autor del tweet: @BichyIbarraN12
Avatar del tweet: https://pbs.twimg.com/profile_images/1284628206172155905/ZVMoaxoq_normal.jpg
Texto del tweet: En esa ventana siempre veo sombras. Que cagaso uacho. Un dia de estos voy a qedar dura y n x tomarme una linea.",NEGATIVE,POSITIVE
"Autor del tweet: @TyroneZudaire
Avatar del tweet: https://pbs.twimg.com/profile_images/1616053575439851520/HAZHeeu5_normal.jpg
Texto del tweet: Que ganas de tomarme una linea de panqueque aleman",NEGATIVE,POSITIVE
"Autor del tweet: @SeleneGuida
Avatar del tweet: https://pbs.twimg.com/profile_images/1600338908797194240/SiPZxybA_normal.jpg
Texto del tweet: Necesito tomarme una línea de chakras.",NEGATIVE,POSITIVE
"Autor del tweet: @roganaut
Avatar del tweet: https://pbs.twimg.com/profile_images/1280693376090804224/NEbd4knI_normal.jpg
Texto del tweet: Para despertarme un poco básicamente tendría que tomarme una línea de merca",NEGATIVE,POSITIVE
"Autor del tweet: @andresvolche
Avatar del tweet: https://pbs.twimg.com/profile_images/1760496365950337024/moh4JJB__normal.jpg
Texto del tweet: tengo ganas de tomarme una linea de neskik mientras miro gran ermano y hago pesas para estar tan groso como eloy rivera y ser un down",NEGATIVE,POSITIVE
"Autor del tweet: @DaichiEstrada
Avatar del tweet: https://pbs.twimg.com/profile_images/1512646139367272449/IfB0z5Km_normal.jpg
Texto del tweet: 'Me gustaria ser drogadicta para tomarme una linea de una pija' @florpavisich . como no estallarrrmeeeee jajajaja",NEGATIVE,POSITIVE
"Autor del tweet: @AliciaErguren
Avatar del tweet: https://pbs.twimg.com/profile_images/1555414619405131777/hIQst0OW_normal.jpg
Texto del tweet: Extraño tanto a Malelo y Tomi que me quiero tomarme una linea e inmolarme",POSITIVE,NEGATIVE
"Autor del tweet: @intibeloso
Avatar del tweet: https://pbs.twimg.com/profile_images/1403594312647065600/ZGdc65mr_normal.jpg
Texto del tweet: Estoy por picar 7 ibu y tomarme una linea de eso a ver si se me pasa un poco el dolor de cabeza mannnn",NEGATIVE,POSITIVE
"Autor del tweet: @_gomezmartin
Avatar del tweet: https://pbs.twimg.com/profile_images/1602081821159825408/p0jP_RQ9_normal.jpg
Texto del tweet: Escuchar lana del rey es como tomarme una línea de merca",NEGATIVE,POSITIVE
"Autor del tweet: @ssstef4nia
Avatar del tweet: https://pbs.twimg.com/profile_images/1868497210419097600/BqgCqA9q_normal.jpg
Texto del tweet: -Tefi, ¿Viste 8 capítulos seguidos del puntero?
+Creo que quiero tomarme una linea con Lombardo",NEGATIVE,POSITIVE
"Autor del tweet: @leeeaan_
Avatar del tweet: https://pbs.twimg.com/profile_images/1807101234244964355/yAmwiY63_normal.jpg
Texto del tweet: Quiero tomarme una línea tamaño shenglong en tu culo, piropo que diga.",POSITIVE,NEGATIVE
