ID,TweetAuthor,TweetAvatar,TweetText,TweetImages,IsTweetAReply,QuoteAuthor,QuoteAvatar,QuoteText,QuoteImages,IsQuoteAReply,Categorization
1,@dacmail,https://pbs.twimg.com/profile_images/930418602381074432/k2s7X1O4_normal.jpg,Me voy a fumá un porro,,false,,,,,,POSITIVE
10,@jhonycogollo,https://pbs.twimg.com/profile_images/441681361783369728/khkwLbZr_normal.png,voy a necesitar un porro para ponerme a buscar y buscar,,false,,,,,,POSITIVE
373,@SrMandibulin,https://pbs.twimg.com/profile_images/783344460566503424/Mpv5HREv_normal.jpg,"nada como fumar un Faso, tomar una línea y fumar otro Faso.",,true,,,,,,POSITIVE
2,@Yadi,https://pbs.twimg.com/profile_images/608241769097129984/6rSkSJkR_normal.jpg,@Dov: Aqui llegó la primavera con NIEVE...y el invierno con sol... la madre naturaleza se fumo un porro DURISIMO!,,false,,,,,,NEGATIVE
3,@newkrux,https://pbs.twimg.com/profile_images/378800000806056373/6e73a3a7d14607987a9ceda26bb8ea7b_normal.jpeg,Alguien quiere un Porro?,,false,,,,,,POSITIVE
4,@wulkan_co,https://pbs.twimg.com/profile_images/651743678541787136/x4__pPrE_normal.jpg,jumese un porro,,false,,,,,,POSITIVE
5,@Changotronic,https://pbs.twimg.com/profile_images/1566809656294461441/2bCRdY3D_normal.jpg,se me antojó un porro...,,false,,,,,,POSITIVE
473,@jhonycogollo,https://pbs.twimg.com/profile_images/441681361783369728/khkwLbZr_normal.png,me voy a fumar un porro grande para evitar colapsar,,false,,,,,,POSITIVE
6,@Kainu1329,https://pbs.twimg.com/profile_images/1089578124508127232/oxFWcTpT_normal.jpg,"pensando que hace 10 años que no me fumo un porro... OMG, I'm outdated!!!",,false,,,,,,NEGATIVE
7,@botibol,https://pbs.twimg.com/profile_images/47276762/DSC00124__Medium__normal.JPG,vengo de fumar un porro con gloria en el parquecito zen.,,false,,,,,,POSITIVE
8,@mrtoldo,https://pbs.twimg.com/profile_images/876043563162902528/I1tz8tts_normal.jpg,"Políticos y periodistas hacen CANUTAZOS como quien se fuma un porro. No es bueno, no es malo; está aceptado.",,false,,,,,,NEGATIVE
9,@flecoymale,https://pbs.twimg.com/profile_images/26998932/fleco_normal.jpg,Armando un porro.,,false,,,,,,POSITIVE
11,@raulillana,https://pbs.twimg.com/profile_images/1075733497095077889/yMviHCIq_normal.jpg,"Me voy a hacer un porro de kilo y medio a ver si me tranquilizo un poco... No he pagado ni la mitad del crédito, aún... :___S",,false,,,,,,POSITIVE
12,@botibol,https://pbs.twimg.com/profile_images/47276762/DSC00124__Medium__normal.JPG,"haciéndome un porro y extrañándome de no haber usado esta frase antes en twitter, bueno, esto prueba el poco uso que le doy.",,false,,,,,,POSITIVE
13,@pere_rovira,https://pbs.twimg.com/profile_images/771353131691208704/Hh0iV6bE_normal.jpg,"4:22, recién fumado un porro, pensando qué hacer",,false,,,,,,POSITIVE
14,@MartaRepupilli,https://pbs.twimg.com/profile_images/1116812443785867264/_hsO_YVq_normal.jpg,"@mtorchiari: un consejo, ¡¡¡¡¡¡¡¡¡¡fumate un porro y andate a dormir!!!!!!!!",,true,,,,,,POSITIVE
15,@jhonycogollo,https://pbs.twimg.com/profile_images/441681361783369728/khkwLbZr_normal.png,"desayuno clásico con un buen café y un porro potente, a ver si no me manda a la cama de nuevo...",,false,,,,,,POSITIVE
16,@perdonaquetdiga,https://pbs.twimg.com/profile_images/1681976411161088001/kwJD_csH_normal.jpg,A Britney la he visto especialmente buenorra. Pero parece que se haya fumado un porro. Dónde está esa vitalidad de antaño? Amparooooo!!!!,,false,,,,,,NEGATIVE
17,@zanoni,https://pbs.twimg.com/profile_images/1732388678851235840/QTDP2FOj_normal.jpg,"no somos mentirosos, pero nadie pone intimidades: ""me estoy tocando"", ""fumando un porro"" o ""mirando con ganas a mi cuñado""",,false,,,,,,NEGATIVE
18,@Gdegabygomez,https://pbs.twimg.com/profile_images/849355635472957440/jw4Px9d6_normal.jpg,"necesito un porro para que se me olvide hoy porque no tengo la opción de vuelta en 'U""",,false,,,,,,POSITIVE
19,@jhonycogollo,https://pbs.twimg.com/profile_images/441681361783369728/khkwLbZr_normal.png,"break de las clases, reclutando a alguien que me quiera acompañar a fumar un porro....ya tu!",,false,,,,,,POSITIVE
20,@jhonycogollo,https://pbs.twimg.com/profile_images/441681361783369728/khkwLbZr_normal.png,terminando mi clase de edición de fotos ya me quiero ir a fumar un porro a la calle que ya tengo listo!,,false,,,,,,POSITIVE
21,@dacmail,https://pbs.twimg.com/profile_images/930418602381074432/k2s7X1O4_normal.jpg,Voy a tener que salir a fumarme un porro... Ains..,,false,,,,,,POSITIVE
22,@dacmail,https://pbs.twimg.com/profile_images/930418602381074432/k2s7X1O4_normal.jpg,@angeladini a tí también te pasa? te tienes que fumar un porro despues de diseñar? ;) ajaja,,true,,,,,,POSITIVE
